index,Region/Country/Area,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2019,Employment by industry: Agriculture (%) Male and Female,25.45,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2019,Employment by industry: Industry (%) Male and Female,22.24,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2019,Employment by industry: Services (%) Male and Female,52.31,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2019,Employment by industry: Agriculture (%) Male,24.92,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2019,Employment by industry: Industry (%) Male,26.97,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2019,Employment by industry: Services (%) Male,48.11,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2019,Employment by industry: Agriculture (%) Female,26.28,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2019,Employment by industry: Industry (%) Female,14.82,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
1,"Total, all countries or areas",2019,Employment by industry: Services (%) Female,58.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2005,Employment by industry: Agriculture (%) Male and Female,58.73,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2005,Employment by industry: Industry (%) Male and Female,12,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2005,Employment by industry: Services (%) Male and Female,29.26,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2005,Employment by industry: Agriculture (%) Male,55.51,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2005,Employment by industry: Industry (%) Male,14.66,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2005,Employment by industry: Services (%) Male,29.83,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2005,Employment by industry: Agriculture (%) Female,63.26,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2005,Employment by industry: Industry (%) Female,8.26,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2005,Employment by industry: Services (%) Female,28.48,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2010,Employment by industry: Agriculture (%) Male and Female,54.07,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2010,Employment by industry: Industry (%) Male and Female,13.33,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2010,Employment by industry: Services (%) Male and Female,32.6,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2010,Employment by industry: Agriculture (%) Male,51.55,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2010,Employment by industry: Industry (%) Male,16.31,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2010,Employment by industry: Services (%) Male,32.15,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2010,Employment by industry: Agriculture (%) Female,57.55,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2010,Employment by industry: Industry (%) Female,9.23,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2010,Employment by industry: Services (%) Female,33.22,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2015,Employment by industry: Agriculture (%) Male and Female,53.31,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2015,Employment by industry: Industry (%) Male and Female,13.61,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2015,Employment by industry: Services (%) Male and Female,33.08,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2015,Employment by industry: Agriculture (%) Male,51.31,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2015,Employment by industry: Industry (%) Male,16.76,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2015,Employment by industry: Services (%) Male,31.93,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2015,Employment by industry: Agriculture (%) Female,55.98,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2015,Employment by industry: Industry (%) Female,9.4,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2015,Employment by industry: Services (%) Female,34.62,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2019,Employment by industry: Agriculture (%) Male and Female,52.51,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2019,Employment by industry: Industry (%) Male and Female,13.56,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2019,Employment by industry: Services (%) Male and Female,33.93,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2019,Employment by industry: Agriculture (%) Male,50.68,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2019,Employment by industry: Industry (%) Male,16.82,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2019,Employment by industry: Services (%) Male,32.51,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2019,Employment by industry: Agriculture (%) Female,54.94,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2019,Employment by industry: Industry (%) Female,9.24,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
2,Africa,2019,Employment by industry: Services (%) Female,35.83,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2005,Employment by industry: Agriculture (%) Male and Female,33.97,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2005,Employment by industry: Industry (%) Male and Female,23.96,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2005,Employment by industry: Services (%) Male and Female,42.08,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2005,Employment by industry: Agriculture (%) Male,31.62,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2005,Employment by industry: Industry (%) Male,25.14,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2005,Employment by industry: Services (%) Male,43.25,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2005,Employment by industry: Agriculture (%) Female,43.4,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2005,Employment by industry: Industry (%) Female,19.09,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2005,Employment by industry: Services (%) Female,37.51,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2010,Employment by industry: Agriculture (%) Male and Female,30.37,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2010,Employment by industry: Industry (%) Male and Female,27.53,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2010,Employment by industry: Services (%) Male and Female,42.11,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2010,Employment by industry: Agriculture (%) Male,27.91,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2010,Employment by industry: Industry (%) Male,29.48,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2010,Employment by industry: Services (%) Male,42.62,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2010,Employment by industry: Agriculture (%) Female,39.87,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2010,Employment by industry: Industry (%) Female,19.93,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2010,Employment by industry: Services (%) Female,40.19,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2015,Employment by industry: Agriculture (%) Male and Female,28.98,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2015,Employment by industry: Industry (%) Male and Female,28.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2015,Employment by industry: Services (%) Male and Female,42.92,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2015,Employment by industry: Agriculture (%) Male,26.52,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2015,Employment by industry: Industry (%) Male,29.93,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2015,Employment by industry: Services (%) Male,43.55,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2015,Employment by industry: Agriculture (%) Female,38.26,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2015,Employment by industry: Industry (%) Female,21.12,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2015,Employment by industry: Services (%) Female,40.62,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2019,Employment by industry: Agriculture (%) Male and Female,27.72,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2019,Employment by industry: Industry (%) Male and Female,27.99,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2019,Employment by industry: Services (%) Male and Female,44.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2019,Employment by industry: Agriculture (%) Male,25.49,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2019,Employment by industry: Industry (%) Male,29.91,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2019,Employment by industry: Services (%) Male,44.6,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2019,Employment by industry: Agriculture (%) Female,36.11,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2019,Employment by industry: Industry (%) Female,20.66,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
15,Northern Africa,2019,Employment by industry: Services (%) Female,43.22,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2005,Employment by industry: Agriculture (%) Male and Female,63.59,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2005,Employment by industry: Industry (%) Male and Female,9.66,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2005,Employment by industry: Services (%) Male and Female,26.75,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2005,Employment by industry: Agriculture (%) Male,62.43,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2005,Employment by industry: Industry (%) Male,11.63,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2005,Employment by industry: Services (%) Male,25.95,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2005,Employment by industry: Agriculture (%) Female,64.97,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2005,Employment by industry: Industry (%) Female,7.33,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2005,Employment by industry: Services (%) Female,27.7,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2010,Employment by industry: Agriculture (%) Male and Female,58.66,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2010,Employment by industry: Industry (%) Male and Female,10.58,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2010,Employment by industry: Services (%) Male and Female,30.76,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2010,Employment by industry: Agriculture (%) Male,58.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2010,Employment by industry: Industry (%) Male,12.55,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2010,Employment by industry: Services (%) Male,29.16,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2010,Employment by industry: Agriculture (%) Female,59.07,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2010,Employment by industry: Industry (%) Female,8.31,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2010,Employment by industry: Services (%) Female,32.62,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2015,Employment by industry: Agriculture (%) Male and Female,57.59,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2015,Employment by industry: Industry (%) Male and Female,11.06,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2015,Employment by industry: Services (%) Male and Female,31.35,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2015,Employment by industry: Agriculture (%) Male,57.77,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2015,Employment by industry: Industry (%) Male,13.33,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2015,Employment by industry: Services (%) Male,28.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2015,Employment by industry: Agriculture (%) Female,57.39,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2015,Employment by industry: Industry (%) Female,8.47,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2015,Employment by industry: Services (%) Female,34.14,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
